lexeme,variants,msg,mpl,fsg,fpl
abaissé,abaissé,abaissé,abaissés,abaissée,abaissées
abandonné,abandonné,abandonné,abandonnés,abandonnée,abandonnées
abandonnique,abandonnique,abandonnique,abandonniques,abandonnique,abandonniques
abasourdi,abasourdi,abasourdi,abasourdis,abasourdie,abasourdies
abasourdissant,abasourdissant,abasourdissant,abasourdissants,abasourdissante,abasourdissantes
abâtardi,abâtardi,abâtardi,abâtardis,abâtardie,abâtardies
abattu,abattu,abattu,abattus,abattue,abattues
abbatial,abbatial,abbatial,abbatiaux,abbatiale,abbatiales
abdominal,abdominal,abdominal,abdominaux,abdominale,abdominales
abducteur,abducteur,abducteur,abducteurs,abductrice,abductrices
aberrant,aberrant,aberrant,aberrants,aberrante,aberrantes
abêti,abêti,abêti,abêti,abêti,abêti
abhorré,abhorré,abhorré,abhorré,abhorré,abhorré
abject,abject,abject,abjects,abjecte,abjectes
abkhaze,abkhaze,abkhaze,abkhazes,abkhaze,abkhazes
aboli,aboli,aboli,abolis,abolie,abolies
abolitionniste,abolitionniste,abolitionniste,abolitionnistes,abolitionniste,abolitionnistes
abominable,abominable,abominable,abominables,abominable,abominables
abondant,abondant,abondant,abondants,abondante,abondantes
abonné,abonné,abonné,abonnés,abonnée,abonnées
abordable,abordable,abordable,abordables,abordable,abordables
abordé,abordé,abordé,abordés,abordée,abordées
aborigène,aborigène,aborigène,aborigènes,aborigène,aborigènes
abortif,abortif,abortif,abortifs,abortive,abortives
aboulique,aboulique,aboulique,abouliques,aboulique,abouliques
abouti,abouti,abouti,aboutis,aboutie,abouties
aboyant,aboyant,aboyant,aboyant,aboyant,aboyant
aboyeur,aboyeur,aboyeur,aboyeur,aboyeur,aboyeur
abracadabrant,abracadabrant,abracadabrant,abracadabrants,abracadabrante,abracadabrantes
abrasif,abrasif,abrasif,abrasifs,abrasive,abrasives
abrégé,abrégé,abrégé,abrégé,abrégé,abrégé
abreuvé,abreuvé,abreuvé,abreuvé,abreuvé,abreuvé
abréviatif,abréviatif,abréviatif,abréviatifs,abréviative,abréviatives
abricot,abricot,abricot,abricot,abricot,abricot
abritant,abritant,abritant,abritant,abritant,abritant
abrité,abrité,abrité,abrités,abritée,abritées
abrogé,abrogé,abrogé,abrogé,abrogé,abrogé
abrupt,abrupt,abrupt,abrupts,abrupte,abruptes
abruti,abruti,abruti,abrutis,abrutie,abruties
abrutissant,abrutissant,abrutissant,abrutissants,abrutissante,abrutissantes
abscons,abscons,abscons,abscons,absconse,absconses
absent,absent,absent,absents,absente,absentes
absentéiste,absentéiste,absentéiste,absentéistes,absentéiste,absentéistes
absidial,absidial,absidial,absidiaux,absidiale,absidiales
absolu,absolu,absolu,absolus,absolue,absolues
absolvant,absolvant,absolvant,absolvant,absolvant,absolvant
absorbable,absorbable,absorbable,absorbables,absorbable,absorbables
absorbant,absorbant,absorbant,absorbants,absorbante,absorbantes
absorbé,absorbé,absorbé,absorbés,absorbée,absorbées
absous,absous:absout,absous,absous,absous,absous
abstenu,abstenu,abstenu,abstenu,abstenu,abstenu
abstinent,abstinent,abstinent,abstinents,abstinente,abstinentes
abstrait,abstrait,abstrait,abstraits,abstraite,abstraites
abstrus,abstrus,abstrus,abstrus,abstruse,abstruses
absurde,absurde,absurde,absurdes,absurde,absurdes
abusé,abusé,abusé,abusé,abusé,abusé
abusif,abusif,abusif,abusifs,abusive,abusives
abyssal,abyssal,abyssal,abyssaux,abyssale,abyssales
abyssin,abyssin,abyssin,abyssins,abyssine,abyssines
abyssinien,abyssinien,abyssinien,abyssiniens,abyssinienne,abyssiniennes
académique,académique,académique,académiques,académique,académiques
acadien,acadien:akkadien,acadien,acadiens,acadienne,acadiennes
acajou,acajou,acajou,acajou,acajou,acajou
acariâtre,acariâtre,acariâtre,acariâtres,acariâtre,acariâtres
accablant,accablant,accablant,accablants,accablante,accablantes
accablé,accablé,accablé,accablés,accablée,accablées
accaparant,accaparant,accaparant,accaparants,accaparante,accaparantes
accapareur,accapareur,accapareur,accapareurs,accapareuse,accapareuses
accélérant,accélérant,accélérant,accélérant,accélérant,accélérant
accélérateur,accélérateur,accélérateur,accélérateurs,accélératrice,accélératrices
accéléré,accéléré,accéléré,accélérés,accélérée,accélérées
accentué,accentué,accentué,accentués,accentuée,accentuées
acceptable,acceptable,acceptable,acceptables,acceptable,acceptables
accessible,accessible,accessible,accessibles,accessible,accessibles
accessoire,accessoire,accessoire,accessoires,accessoire,accessoires
accidenté,accidenté,accidenté,accidentés,accidentée,accidentées
accidentel,accidentel,accidentel,accidentels,accidentelle,accidentelles
accolé,accolé,accolé,accolés,accolée,accolées
accommodant,accommodant,accommodant,accommodants,accommodante,accommodantes
accommodateur,accommodateur,accommodateur,accommodateurs,accommodatrice,accommodatrices
accompagnant,accompagnant,accompagnant,accompagnant,accompagnant,accompagnant
accompagné,accompagné,accompagné,accompagnés,accompagnée,accompagnées
accompli,accompli,accompli,accomplis,accomplie,accomplies
accore,accore,accore,accores,accore,accores
accort,accort,accort,accorts,accorte,accortes
accostant,accostant,accostant,accostant,accostant,accostant
accouchant,accouchant,accouchant,accouchant,accouchant,accouchant
accoudé,accoudé,accoudé,accoudés,accoudée,accoudées
accoutré,accoutré,accoutré,accoutré,accoutré,accoutré
accoutumé,accoutumé,accoutumé,accoutumés,accoutumée,accoutumées
accrédité,accrédité,accrédité,accrédités,accréditée,accréditées
accro,accro,accro,accros,accro,accros
accrochant,accrochant,accrochant,accrochant,accrochant,accrochant
accroché,accroché,accroché,accrochés,accrochée,accrochées
accrocheur,accrocheur,accrocheur,accrocheurs,accrocheuse,accrocheuses
accroupi,accroupi,accroupi,accroupi,accroupi,accroupi
accru,accru,accru,accrus,accrue,accrues
accueillant,accueillant,accueillant,accueillants,accueillante,accueillantes
acculé,acculé,acculé,acculé,acculé,acculé
accusateur,accusateur,accusateur,accusateurs,accusatrice,accusatrices
accusatoire,accusatoire,accusatoire,accusatoires,accusatoire,accusatoires
accusé,accusé,accusé,accusés,accusée,accusées
acellulaire,acellulaire,acellulaire,acellulaires,acellulaire,acellulaires
acéphale,acéphale,acéphale,acéphales,acéphale,acéphales
acerbe,acerbe,acerbe,acerbes,acerbe,acerbes
acéré,acéré,acéré,acérés,acérée,acérées
acétique,acétique:ascétique,acétique,acétiques,acétique,acétiques
acétylsalicylique,acétylsalicylique,acétylsalicylique,acétylsalicyliques,acétylsalicylique,acétylsalicyliques
achalandé,achalandé,achalandé,achalandés,achalandée,achalandées
acharné,acharné,acharné,acharnés,acharnée,acharnées
achetable,achetable,achetable,achetables,achetable,achetables
achevé,achevé,achevé,achevés,achevée,achevées
acide,acide,acide,acides,acide,acides
acidulé,acidulé,acidulé,acidulés,acidulée,acidulées
acnéique,acnéique,acnéique,acnéiques,acnéique,acnéiques
acoustique,acoustique,acoustique,acoustiques,acoustique,acoustiques
acquis,acquis,acquis,acquis,acquise,acquises
acquitté,acquitté,acquitté,acquittés,acquittée,acquittées
âcre,âcre,âcre,âcres,âcre,âcres
acrimonieux,acrimonieux,acrimonieux,acrimonieux,acrimonieuse,acrimonieuses
acrobatique,acrobatique,acrobatique,acrobatiques,acrobatique,acrobatiques
acrocéphale,acrocéphale,acrocéphale,acrocéphales,acrocéphale,acrocéphales
acrylique,acrylique,acrylique,acryliques,acrylique,acryliques
actif,actif,actif,actifs,active,actives
activant,activant,activant,activant,activant,activant
activé,activé,activé,activés,activée,activées
activiste,activiste,activiste,activistes,activiste,activistes
actuariel,actuariel,actuariel,actuariels,actuarielle,actuarielles
actuel,actuel,actuel,actuels,actuelle,actuelles
ad hoc,ad hoc,ad hoc,ad hoc,ad hoc,ad hoc
adamantin,adamantin,adamantin,adamantins,adamantine,adamantines
adamique,adamique,adamique,adamiques,adamique,adamiques
adaptable,adaptable,adaptable,adaptables,adaptable,adaptables
adaptatif,adaptatif,adaptatif,adaptatifs,adaptative,adaptatives
additif,additif,additif,additifs,additive,additives
additionnel,additionnel,additionnel,additionnels,additionnelle,additionnelles
adéquat,adéquat,adéquat,adéquats,adéquate,adéquates
adhérent,adhérent,adhérent,adhérents,adhérente,adhérentes
adhésif,adhésif,adhésif,adhésifs,adhésive,adhésives
adipeux,adipeux,adipeux,adipeux,adipeuse,adipeuses
adipique,adipique,adipique,adipiques,adipique,adipiques
adjacent,adjacent,adjacent,adjacents,adjacente,adjacentes
adjectif,adjectif,adjectif,adjectifs,adjective,adjectives
adjoint,adjoint,adjoint,adjoints,adjointe,adjointes
adjuvant,adjuvant,adjuvant,adjuvants,adjuvante,adjuvantes
administrant,administrant,administrant,administrant,administrant,administrant
administratif,administratif,administratif,administratifs,administrative,administratives
administré,administré,administré,administrés,administrée,administrées
admirable,admirable,admirable,admirables,admirable,admirables
admirateur,admirateur,admirateur,admirateurs,admiratrice,admiratrices
admiratif,admiratif,admiratif,admiratifs,admirative,admiratives
admis,admis,admis,admis,admis,admis
admissible,admissible,admissible,admissibles,admissible,admissibles
adolescent,adolescent,adolescent,adolescents,adolescente,adolescentes
adoptable,adoptable,adoptable,adoptables,adoptable,adoptables
adoptant,adoptant,adoptant,adoptants,adoptante,adoptantes
adopté,adopté,adopté,adoptés,adoptée,adoptées
adoptif,adoptif,adoptif,adoptifs,adoptive,adoptives
adorable,adorable,adorable,adorables,adorable,adorables
adorant,adorant,adorant,adorants,adorante,adorantes
adossé,adossé,adossé,adossés,adossée,adossées
adouci,adouci,adouci,adoucis,adoucie,adoucies
adoucissant,adoucissant,adoucissant,adoucissants,adoucissante,adoucissantes
adragant,adragant,adragant,adragant,adragant,adragant
adriatique,adriatique,adriatique,adriatiques,adriatique,adriatiques
adroit,adroit,adroit,adroits,adroite,adroites
adulateur,adulateur,adulateur,adulateurs,adulatrice,adulatrices
adulte,adulte,adulte,adultes,adulte,adultes
adultère,adultère,adultère,adultères,adultère,adultères
adultérin,adultérin,adultérin,adultérins,adultérine,adultérines
adventice,adventice,adventice,adventices,adventice,adventices
adventiste,adventiste,adventiste,adventistes,adventiste,adventistes
advenu,advenu,advenu,advenu,advenu,advenu
adverse,adverse,adverse,adverses,adverse,adverses
aéré,aéré,aéré,aérés,aérée,aérées
aérien,aérien,aérien,aériens,aérienne,aériennes
aérodynamique,aérodynamique,aérodynamique,aérodynamiques,aérodynamique,aérodynamiques
aéromobile,aéromobile,aéromobile,aéromobiles,aéromobile,aéromobiles
aéronautique,aéronautique,aéronautique,aéronautiques,aéronautique,aéronautiques
aéronaval,aéronaval,aéronaval,aéronavals,aéronavale,aéronavales
aéroporté,aéroporté,aéroporté,aéroportés,aéroportée,aéroportées
aérospatial,aérospatial,aérospatial,aérospatiaux,aérospatiale,aérospatiales
affable,affable,affable,affables,affable,affables
affaibli,affaibli,affaibli,affaiblis,affaiblie,affaiblies
affaiblissant,affaiblissant,affaiblissant,affaiblissants,affaiblissante,affaiblissantes
affairé,affairé,affairé,affairés,affairée,affairées
affairiste,affairiste,affairiste,affairistes,affairiste,affairistes
affamant,affamant,affamant,affamant,affamant,affamant
affamé,affamé,affamé,affamés,affamée,affamées
affecté,affecté,affecté,affectés,affectée,affectées
affectif,affectif,affectif,affectifs,affective,affectives
affectionné,affectionné,affectionné,affectionnés,affectionnée,affectionnées
affectueux,affectueux,affectueux,affectueux,affectueuse,affectueuses
afférent,afférent,afférent,afférents,afférente,afférentes
affété,affété,affété,affétés,affétée,affétées
affichant,affichant,affichant,affichant,affichant,affichant
affidé,affidé,affidé,affidés,affidée,affidées
affilé,affilé,affilé,affilés,affilée,affilées
affilié,affilié,affilié,affiliés,affiliée,affiliées
affin,affin,affin,affins,affine,affines
affiné,affiné,affiné,affinés,affinée,affinées
affirmatif,affirmatif,affirmatif,affirmatifs,affirmative,affirmatives
affixé,affixé,affixé,affixés,affixée,affixées
affleurant,affleurant,affleurant,affleurant,affleurant,affleurant
affligé,affligé,affligé,affligé,affligé,affligé
affligeant,affligeant,affligeant,affligeants,affligeante,affligeantes
affluent,affluent,affluent,affluents,affluente,affluentes
affolant,affolant,affolant,affolants,affolante,affolantes
affolé,affolé,affolé,affolés,affolée,affolées
affranchi,affranchi,affranchi,affranchis,affranchie,affranchies
affreux,affreux,affreux,affreux,affreuse,affreuses
affriolant,affriolant,affriolant,affriolants,affriolante,affriolantes
affronté,affronté,affronté,affrontés,affrontée,affrontées
affublé,affublé,affublé,affublé,affublé,affublé
afghan,afghan,afghan,afghans,afghane,afghanes
africain,africain,africain,africains,africaine,africaines
afrikaans,afrikaans,afrikaans,afrikaans,afrikaans,afrikaans
afro-américain,afro-américain,afro-américain,afro-américains,afro-américaine,afro-américaines
afro-asiatique,afro-asiatique,afro-asiatique,unk,afro-asiatique,unk
afro-brésilien,afro-brésilien,afro-brésilien,afro-brésiliens,unk,unk
afro-cubain,afro-cubain,afro-cubain,afro-cubains,unk,afro-cubaines
afro,afro,afro,afro,afro,afro
agaçant,agaçant,agaçant,agaçants,agaçante,agaçantes
âgé,âgé,âgé,âgés,âgée,âgées
agenouillé,agenouillé,agenouillé,agenouillé,agenouillé,agenouillé
aggloméré,aggloméré,aggloméré,agglomérés,agglomérée,agglomérées
agglutinatif,agglutinatif,agglutinatif,agglutinatif,agglutinatif,agglutinatif
aggravant,aggravant,aggravant,aggravants,aggravante,aggravantes
agile,agile,agile,agiles,agile,agiles
agissant,agissant,agissant,agissants,agissante,agissantes
agitant,agitant,agitant,agitants,agitante,agitantes
agité,agité,agité,agités,agitée,agitées
agnostique,agnostique,agnostique,agnostiques,agnostique,agnostiques
agonique,agonique,agonique,agoniques,agonique,agoniques
agonisant,agonisant,agonisant,agonisants,agonisante,agonisantes
agoniste,agoniste,agoniste,agonistes,agoniste,agonistes
agoraphobe,agoraphobe,agoraphobe,agoraphobes,agoraphobe,agoraphobes
agraire,agraire,agraire,agraires,agraire,agraires
agrarien,agrarien,agrarien,agrariens,agrarienne,agrariennes
agréable,agréable,agréable,agréables,agréable,agréables
agréé,agréé,agréé,agréés,agréée,agréées
agrégatif,agrégatif,agrégatif,agrégatifs,agrégative,agrégatives
agrégé,agrégé,agrégé,agrégés,agrégée,agrégées
agrémenté,agrémenté,agrémenté,agrémenté,agrémenté,agrémenté
agresseur,agresseur,agresseur,agresseurs,agresseuse,agresseuses
agressif,agressif,agressif,agressifs,agressive,agressives
agreste,agreste,agreste,agrestes,agreste,agrestes
agricole,agricole,agricole,agricoles,agricole,agricoles
agrippant,agrippant,agrippant,agrippants,agrippante,agrippantes
agro-alimentaire,agro-alimentaire:agroalimentaire,agro-alimentaire,agro-alimentaires,agro-alimentaire,agro-alimentaires
agronomique,agronomique,agronomique,agronomiques,agronomique,agronomiques
aguerri,aguerri,aguerri,aguerri,aguerri,aguerri
aguichant,aguichant,aguichant,aguichants,aguichante,aguichantes
aguicheur,aguicheur,aguicheur,aguicheurs,aguicheuse,aguicheuses
ahanant,ahanant,ahanant,ahanants,ahanante,ahanantes
ahuri,ahuri,ahuri,ahuris,ahurie,ahuries
ahurissant,ahurissant,ahurissant,ahurissants,ahurissante,ahurissantes
aigre-doux,aigre-doux,aigre-doux,aigres-doux,aigre-douce,aigres-douces
aigre,aigre,aigre,aigres,aigre,aigres
aigrelet,aigrelet,aigrelet,aigrelets,aigrelette,aigrelettes
aigret,aigret,aigret,aigret,aigret,aigret
aigri,aigri,aigri,aigris,aigrie,aigries
aigu,aigu,aigu,aigus,aiguë,aiguës
aiguillonnant,aiguillonnant,aiguillonnant,aiguillonnant,aiguillonnant,aiguillonnant
aiguisé,aiguisé,aiguisé,aiguisés,aiguisée,aiguisées
ailé,ailé,ailé,ailés,ailée,ailées
aimable,aimable,aimable,aimables,aimable,aimables
aimant,aimant,aimant,aimants,aimante,aimantes
aimé,aimé,aimé,aimés,aimée,aimées
aîné,aîné,aîné,aînés,aînée,aînées
air-air,air-air,air-air,air-air,air-air,air-air
air-mer,air-mer,air-mer,air-mer,air-mer,air-mer
air-sol,air-sol,air-sol,air-sol,air-sol,air-sol
aisé,aisé,aisé,aisés,aisée,aisées
aise,aise,aise,aises,aise,aises
aixois,aixois,aixois,aixois,aixoise,aixoises
ajiste,ajiste,ajiste,ajistes,ajiste,ajistes
ajouré,ajouré,ajouré,ajourés,ajourée,ajourées
ajourné,ajourné,ajourné,ajournés,ajournée,ajournées
ajouté,ajouté,ajouté,ajouté,ajouté,ajouté
ajustable,ajustable,ajustable,ajustables,ajustable,ajustables
ajusté,ajusté,ajusté,ajustés,ajustée,ajustées
alaire,alaire,alaire,alaires,alaire,alaires
alambiqué,alambiqué,alambiqué,alambiqués,alambiquée,alambiquées
alangui,alangui,alangui,alanguis,alanguie,alanguies
alanguissant,alanguissant,alanguissant,alanguissants,alanguissante,alanguissantes
alarmant,alarmant,alarmant,alarmants,alarmante,alarmantes
alarmiste,alarmiste,alarmiste,alarmistes,alarmiste,alarmistes
albanais,albanais,albanais,albanais,albanaise,albanaises
albanophone,albanophone,albanophone,albanophones,albanophone,albanophones
albâtre,albâtre,albâtre,albâtre,albâtre,albâtre
albigeois,albigeois,albigeois,albigeois,albigeoise,albigeoises
albinos,albinos,albinos,albinos,albinos,albinos
albumineux,albumineux,albumineux,albumineux,albumineuse,albumineuses
alcalin,alcalin,alcalin,alcalins,alcaline,alcalines
alchimique,alchimique,alchimique,alchimiques,alchimique,alchimiques
alcoolique,alcoolique,alcoolique,alcooliques,alcoolique,alcooliques
alcoolisé,alcoolisé,alcoolisé,alcoolisés,alcoolisée,alcoolisées
alcoolo,alcoolo,alcoolo,alcoolo,alcoolo,alcoolo
aléatoire,aléatoire,aléatoire,aléatoires,aléatoire,aléatoires
alémanique,alémanique,alémanique,alémaniques,alémanique,alémaniques
alençonnais,alençonnais,alençonnais,alençonnais,alençonnais,alençonnais
aléoutien,aléoutien,aléoutien,aléoutiens,aléoutienne,aléoutiennes
alerte,alerte,alerte,alertes,alerte,alertes
alerté,alerté,alerté,alerté,alerté,alerté
alexandrin,alexandrin,alexandrin,alexandrins,alexandrine,alexandrines
alezan,alezan,alezan,alezans,alezane,alezanes
algébrique,algébrique,algébrique,algébriques,algébrique,algébriques
algérien,algérien,algérien,algériens,algérienne,algériennes
algérois,algérois,algérois,algérois,algéroise,algéroises
algonquin,algonquin,algonquin,algonquins,algonquine,algonquines
algorithmique,algorithmique,algorithmique,algorithmiques,algorithmique,algorithmiques
aliénant,aliénant,aliénant,aliénants,aliénante,aliénantes
aliéné,aliéné,aliéné,aliénés,aliénée,aliénées
aligné,aligné,aligné,aligné,aligné,aligné
aligoté,aligoté,aligoté,aligotés,aligotée,aligotées
alimentaire,alimentaire,alimentaire,alimentaires,alimentaire,alimentaires
alizé,alizé,alizé,alizés,alizée,alizées
allaitant,allaitant,allaitant,allaitants,allaitante,allaitantes
allant,allant,allant,allants,allante,allantes
alléchant,alléchant,alléchant,alléchants,alléchante,alléchantes
allégorique,allégorique,allégorique,allégoriques,allégorique,allégoriques
allègre,allègre,allègre,allègres,allègre,allègres
allemand,allemand,allemand,allemands,allemande,allemandes
allergène,allergène,allergène,allergènes,allergène,allergènes
allergique,allergique,allergique,allergiques,allergique,allergiques
alliacé,alliacé,alliacé,alliacés,alliacée,alliacées
allié,allié,allié,alliés,alliée,alliées
allitératif,allitératif,allitératif,allitératifs,allitérative,allitératives
allobroge,allobroge,allobroge,allobroge,allobroge,allobroge
allogène,allogène:halogène,allogène,allogènes,allogène,allogènes
allongé,allongé,allongé,allongés,allongée,allongées
allostérique,allostérique,allostérique,allostériques,allostérique,allostériques
allumé,allumé,allumé,allumés,allumée,allumées
alluré,alluré,alluré,allurés,allurée,allurées
allusif,allusif,allusif,allusifs,allusive,allusives
alpestre,alpestre,alpestre,alpestres,alpestre,alpestres
alphabétique,alphabétique,alphabétique,alphabétiques,alphabétique,alphabétiques
alphabétisé,alphabétisé,alphabétisé,alphabétisé,alphabétisé,alphabétisé
alphanumérique,alphanumérique,alphanumérique,alphanumériques,alphanumérique,alphanumériques
alpin,alpin,alpin,alpins,alpine,alpines
alsacien,alsacien,alsacien,alsaciens,alsacienne,alsaciennes
altérable,altérable,altérable,altérables,altérable,altérables
altéré,altéré,altéré,altérés,altérée,altérées
alternant,alternant,alternant,alternants,alternante,alternantes
alternatif,alternatif,alternatif,alternatifs,alternative,alternatives
alterne,alterne,alterne,alternes,alterne,alternes
alterné,alterné,alterné,alternés,alternée,alternées
altier,altier,altier,altiers,altière,altières
altruiste,altruiste,altruiste,altruistes,altruiste,altruistes
alvéolaire,alvéolaire,alvéolaire,alvéolaires,alvéolaire,alvéolaires
alvéolé,alvéolé,alvéolé,alvéolés,alvéolée,alvéolées
alvin,alvin,alvin,alvins,alvine,alvines
amaigri,amaigri,amaigri,amaigris,amaigrie,amaigries
amaigrissant,amaigrissant,amaigrissant,amaigrissants,amaigrissante,amaigrissantes
amalfitain,amalfitain,amalfitain,amalfitain,amalfitain,amalfitain
amarante,amarante,amarante,amarante,amarante,amarante
amateur,amateur,amateur,amateurs,amateur,amateurs
amazonien,amazonien,amazonien,amazoniens,amazonienne,amazoniennes
ambiant,ambiant,ambiant,ambiants,ambiante,ambiantes
ambidextre,ambidextre,ambidextre,ambidextres,ambidextre,ambidextres
ambigu,ambigu,ambigu,ambigus,ambiguë,ambiguës
ambitieux,ambitieux,ambitieux,ambitieux,ambitieuse,ambitieuses
ambivalent,ambivalent,ambivalent,ambivalents,ambivalente,ambivalentes
ambré,ambré,ambré,ambrés,ambrée,ambrées
ambulant,ambulant,ambulant,ambulants,ambulante,ambulantes
ambulatoire,ambulatoire,ambulatoire,ambulatoires,ambulatoire,ambulatoires
améliorable,améliorable,améliorable,améliorables,améliorable,améliorables
améliorateur,améliorateur,améliorateur,améliorateurs,amélioratrice,amélioratrices
amélioré,amélioré,amélioré,amélioré,amélioré,amélioré
amène,amène,amène,amènes,amène,amènes
amer,amer,amer,amers,amère,amères
américain,américain,américain,américains,américaine,américaines
américano-britannique,américano-britannique,américano-britannique,américano-britannique,américano-britannique,américano-britannique
américano-japonais,américano-japonais,américano-japonais,américano-japonais,américano-japonais,américano-japonais
américano-russe,américano-russe,américano-russe,américano-russe,américano-russe,américano-russe
américano-soviétique,américano-soviétique,américano-soviétique,américano-soviétique,américano-soviétique,américano-soviétique
américano-suédois,américano-suédois,américano-suédois,américano-suédois,américano-suédois,américano-suédois
américanophile,américanophile,américanophile,américanophiles,américanophile,américanophiles
amérindien,amérindien,amérindien,amérindiens,amérindienne,amérindiennes
améthyste,améthyste,améthyste,améthyste,améthyste,améthyste
ami,ami,ami,amis,amie,amies
amiable,amiable,amiable,amiables,amiable,amiables
amibien,amibien,amibien,amibiens,amibienne,amibiennes
amical,amical,amical,amicaux,amicale,amicales
aminci,aminci,aminci,aminci,aminci,aminci
amincissant,amincissant,amincissant,amincissants,amincissante,amincissantes
aminé,aminé,aminé,aminés,aminée,aminées
amiral,amiral,amiral,amiraux,amirale,amirales
amish,amish,amish,amish,amish,amish
amitieux,amitieux,amitieux,amitieux,amitieux,amitieux
ammoniac,ammoniac:ammoniaque,ammoniac,ammoniacs,ammoniaque,ammoniaques
ammoniacal,ammoniacal,ammoniacal,ammoniacaux,ammoniacale,ammoniacales
ammoniaqué,ammoniaqué,ammoniaqué,ammoniaqués,ammoniaquée,ammoniaquées
amnésique,amnésique,amnésique,amnésiques,amnésique,amnésiques
amniotique,amniotique,amniotique,amniotiques,amniotique,amniotiques
amnistiable,amnistiable,amnistiable,amnistiables,amnistiable,amnistiables
amnistiant,amnistiant,amnistiant,amnistiants,amnistiante,amnistiantes
amnistié,amnistié,amnistié,amnistiés,amnistiée,amnistiées
amollissant,amollissant,amollissant,amollissants,amollissante,amollissantes
amont,amont,amont,amont,amont,amont
amoral,amoral,amoral,amoraux,amorale,amorales
amorphe,amorphe,amorphe,amorphes,amorphe,amorphes
amorti,amorti,amorti,amortis,amortie,amorties
amoureux,amoureux,amoureux,amoureux,amoureuse,amoureuses
amovible,amovible,amovible,amovibles,amovible,amovibles
amphibie,amphibie,amphibie,amphibies,amphibie,amphibies
amphigourique,amphigourique,amphigourique,amphigouriques,amphigourique,amphigouriques
ample,ample,ample,amples,ample,amples
amplificateur,amplificateur,amplificateur,amplificateurs,amplificatrice,amplificatrices
ampoulé,ampoulé,ampoulé,ampoulés,ampoulée,ampoulées
amputé,amputé,amputé,amputés,amputée,amputées
amusant,amusant,amusant,amusants,amusante,amusantes
amygdalien,amygdalien,amygdalien,amygdaliens,amygdalienne,amygdaliennes
amylique,amylique,amylique,amyliques,amylique,amyliques
amyotrophique,amyotrophique,amyotrophique,amyotrophiques,amyotrophique,amyotrophiques
anabaptiste,anabaptiste,anabaptiste,anabaptistes,anabaptiste,anabaptistes
anabolisant,anabolisant,anabolisant,anabolisants,anabolisante,anabolisantes
anachronique,anachronique,anachronique,anachroniques,anachronique,anachroniques
anadyomène,anadyomène,anadyomène,anadyomène,anadyomène,anadyomène
anaérobie,anaérobie,anaérobie,anaérobies,anaérobie,anaérobies
anal,anal,anal,anaux,anale,anales
analgésique,analgésique,analgésique,analgésiques,analgésique,analgésiques
analogique,analogique,analogique,analogiques,analogique,analogiques
analogue,analogue,analogue,analogues,analogue,analogues
analphabète,analphabète,analphabète,analphabètes,analphabète,analphabètes
analytique,analytique,analytique,analytiques,analytique,analytiques
anaphylactique,anaphylactique,anaphylactique,anaphylactiques,anaphylactique,anaphylactiques
anar,anar,anar,anars,anar,anars
anarchique,anarchique,anarchique,anarchiques,anarchique,anarchiques
anarchisant,anarchisant,anarchisant,anarchisants,anarchisante,anarchisantes
anarchiste,anarchiste,anarchiste,anarchistes,anarchiste,anarchistes
anarcho-syndicaliste,anarcho-syndicaliste,anarcho-syndicaliste,anarcho-syndicaliste,anarcho-syndicaliste,anarcho-syndicaliste
anatomique,anatomique,anatomique,anatomiques,anatomique,anatomiques
anatomophysiologique,anatomophysiologique,anatomophysiologique,anatomophysiologiques,anatomophysiologique,anatomophysiologiques
ancestral,ancestral,ancestral,ancestraux,ancestrale,ancestrales
ancien,ancien,ancien,anciens,ancienne,anciennes
ancillaire,ancillaire,ancillaire,ancillaires,ancillaire,ancillaires
ancré,ancré,ancré,ancré,ancré,ancré
andalou,andalou,andalou,andalous,andalouse,andalouses
andin,andin,andin,andins,andine,andines
andorran,andorran,andorran,andorrans,andorrane,andorranes
androgyne,androgyne,androgyne,androgynes,androgyne,androgynes
androgynique,androgynique,androgynique,androgynique,androgynique,androgynique
androïde,androïde,androïde,androïdes,androïde,androïdes
anéantissant,anéantissant,anéantissant,anéantissant,anéantissant,anéantissant
anecdotique,anecdotique,anecdotique,anecdotiques,anecdotique,anecdotiques
anémiant,anémiant,anémiant,anémiants,anémiante,anémiantes
anémié,anémié,anémié,anémiés,anémiée,anémiées
anémique,anémique,anémique,anémiques,anémique,anémiques
anémométrique,anémométrique,anémométrique,anémométriques,anémométrique,anémométriques
anesthésiant,anesthésiant,anesthésiant,anesthésiants,anesthésiante,anesthésiantes
anesthésique,anesthésique,anesthésique,anesthésiques,anesthésique,anesthésiques
angélique,angélique,angélique,angéliques,angélique,angéliques
angevin,angevin,angevin,angevins,angevine,angevines
anglais,anglais,anglais,anglais,anglaise,anglaises
anglican,anglican,anglican,anglicans,anglicane,anglicanes
anglo-albanais,anglo-albanais,anglo-albanais,anglo-albanais,anglo-albanais,anglo-albanais
anglo-allemand,anglo-allemand,anglo-allemand,anglo-allemand,anglo-allemand,anglo-allemand
anglo-américain,anglo-américain,anglo-américain,anglo-américains,anglo-américaine,unk
anglo-arabe,anglo-arabe,anglo-arabe,unk,anglo-arabe,unk
anglo-chinois,anglo-chinois,anglo-chinois,anglo-chinois,anglo-chinois,anglo-chinois
anglo-égyptien,anglo-égyptien,anglo-égyptien,anglo-égyptien,anglo-égyptien,anglo-égyptien
